Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Macallan 1987 Old Malt Cask","20 yrs","1987","Macallan","Douglas Laing","$270","50","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Thomas H. Handy Sazerac (2006)","6 yrs","1998","Buffalo Trace","Buffalo Trace","N/A","66.35","Kentucky","Collectors Only","USA","American","Rye",
"Glenburgie 10","10 yrs","N/A","Glenburgie","Glenburgie","$35","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel OBSK (K&L)","10 yrs","N/A","Four Roses ","Four Roses ","$60","56.2","Kentucky","Specialty Stores","USA","American","Bourbon",
"Macallan 7","7 yrs","N/A","Macallan","Macallan","$40","40","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Glenmorangie 15","15 yrs","N/A","Glenmorangie","Glenmorangie","$65","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Willett 6 yo Barrel 3696 (The Party Source)","6 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$40","63.3","Kentucky","Specialty Stores","USA","American","Bourbon",
"Cragganmore 12","12 yrs","N/A","Cragganmore","Cragganmore","$50","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Old Fettercairn 32 Limited Edition","32 yrs","1967","Old Fettercairn","Old Fettercairn","$190","45","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Bunnahabhain Jubilee Malt II ("Extra Regal") for The Whisky Barrel","21 yrs","N/A","Bunnahabhain","The Whisky Barrel","$85","54.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Ballindalloch 1966 JWWW","39 yrs","1966","Ballindalloch","Jack Wiebers Whisky World","N/A","44.5","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Chivas Regal 12","12 yrs","N/A","Chivas","Chivas","$35","40","N/A","Wide","Scotland","Scotch","Blend",
"BenRiach Heat of Speyside","N/A","N/A","BenRiach","BenRiach","$40","40","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Old Overholt","4 yrs","N/A","Jim Beam","Jim Beam","$15","40","Kentucky","Wide","USA","American","Rye",
"Hakushu Heavily Peated","N/A","N/A","Hakushu","Hakushu","$80","48","Japan","Overseas Wide","Japan","Japanese","Single Malt",
"Glendronach 1990 Murray McDavid","13 yrs","1990","Glendarroch","Murray McDavid","$75","46","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Tomatin 1970 Old Malt Cask","40 yrs","1970","Tomatin","Old Malt Cask","$180","44.3","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Suntory Whisky Blend","N/A","N/A","Suntory","Suntory","N/A","46.4","Japan","Collectors Only","Japan","Japanese","Blend",
"Trader Joe's Bourbon","N/A","N/A","NDP","Buffalo Trace","$15","45","Kentucky","Wide","USA","American","Bourbon",
"Ardbeg Lord of the Isles","25 yrs","N/A","Ardbeg","Ardbeg","N/A","46","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfarclas 8 (1970s)","8 yrs","N/A","Glenfarclas","Glenfarclas","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Tomatin 25","25 yrs","N/A","Tomatin","Tomatin","$130","43","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Ardbeg Almost There","9 yrs","1998","Ardbeg","Ardbeg","$65","54.1","Islay","Wide","Scotland","Scotch","Single Malt",
"Dun Bheagan 8 Speyside","8 yrs","N/A","Dun Bheagan","Ian Macleod","$40","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Brora 1981 Chieftain's (K&L)","30 yrs","1981","Brora","Chieftain's","$250","54.6","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park 1985 Scott's Selection","N/A","1985","Highland Park","Scott's Selection","N/A","53.5","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Eden","NA yrs","N/A","Glen Elgin","NA","$30","43","Highland","Specialty Stores","Scotland","Scotch","Blend",
"Pappy Van Winkle 15 (Buffalo Trace)","15 yrs","N/A","Buffalo Trace ","Buffalo Trace ","N/A","53.5","Kentucky","Specialty Stores","USA","American","Bourbon",
"Evan Williams Single Barrel 1993","9 yrs","1993","Heaven Hill","Heaven Hill","N/A","43.3","Kentucky","Collectors Only","USA","American","Bourbon",
"Balblair 1989","17 yrs","1989","Balblair","Balblair","$70","43","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Mortlach 1954 G&M","44 yrs","1954","Morlach","Gordon & MacPhail","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Old Pulteney 1990 Gordon and MacPhail Cask","16 yrs","1990","Old Pulteney","Gordon & MacPhail","$95","59","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenesk 1985 Connoisseurs Choice","17 yrs","1985","Glenesk","Gordon & MacPhail","$103","40","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Glencadam 1974 Connoisseur's Choice","16 yrs","1974","Glencadam","Gordon & MacPhail","N/A","40","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Caperdonich 1972 G&M Reserve","36 yrs","1972","Caperdonich","Gordon & MacPhail","$200","57","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenburgie 1980 Premier Barrel","25 yrs","1980","Glenburgie","Douglas Laing","$240","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Morlach 1993 Duncan Taylor NC2","14 yrs","1993","Morlach","Duncan Taylor","$90","55.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Amrut","N/A","N/A","Amrut","Amrut","$36","40","N/A","Overseas Specialty","India","World","Other",
"Lismore 100 proof","N/A","N/A","Lismore","Lismore","$45","50","N/A","Wide","Scotland","Scotch","Single Malt",
"Port Charlotte PC8 Ar Duthchas","8 yrs","N/A","Port Charlotte","Port Charlotte","$140","60.5","N/A","Specialty Stores","Scotland","Scotch","Single Malt",
"Aberlour 12 Double Cask Matured","12 yrs","N/A","Aberlour","Aberlour","$35","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Tamdhu 1967 Avery's","11 yrs","1967","Tamdhu","Avery's","N/A","43.4","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Stronachie 1976 AD Rattray","31 yrs","1976","Stronachie","A.D. Rattray","$215","52.6","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Pulteney 1989 Whisky Galore","1989 yrs","16","Old Pulteney","Duncan Taylor","$65","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenfarclas 12","12 yrs","N/A","Glenfarclas","Glenfarclas","$50","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Ellington Reserve","8 yrs","N/A","Ellington","Ellington","$13","40","Canada","Wide","Canada","Canadian","Blend",
"Michael Collins Single Malt","10 yrs","N/A","Michael Collins","Michael Collins","$40","80","Ireland","Wide","Ireland","Irish","Single Malt",
"Feckin Irish Whiskey","N/A","N/A","Feckin Drinks Company","Cooley","$20","40","Ireland","Wide","Ireland","Irish","Blend",
