Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Springbank 1995 High Spirits Collection","9 yrs","1995","Springbank","High Spirits Collection","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Macallan Thirties","N/A","N/A","Macallan","Macallan","$90","40","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Macallan 1952 Campbell Hope & King","15+ yrs","1952","Macallan","Campbell Hope & King","N/A","46","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 1979 15yo","15 yrs","1979","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfarclas 1974 Sam's Wine and Spirit","28 yrs","1974","Glenfarclas","Glenfarclas","N/A","49.9","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 1995 Murray McDavid","11 yrs","1995","Bowmore","Murray McDavid","$65","46","Islay","Wide","Scotland","Scotch","Single Malt",
"Glen Scotia 14","14 yrs","N/A","Glen Scotia","Glen Scotia","$60","40","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Johnny Drum 15 ","15 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$50","50.5","Kentucky","Specialty Stores","USA","American","Bourbon",
"Black and White (1970's)","N/A","N/A","Buchanan's","Buchanan's","N/A","43.3","N/A","Collectors Only","Scotland","Scotch","Blend",
"Littlemill 1990 Jewels of Scotland","13 yrs","1990","Littlemill","Lombard","$55","50","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore 1993 Perfect Dram","16 yrs","1993","Bowmore","Perfect Dram","$105","53.8","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Fairfax County","5 yrs","1950","A. Smith Bowman","A. Smith Bowman","N/A","50","Virginia","Collectors Only","USA","American","Bourbon",
"Glengoyne 1972 Perfect Dram (63.5%)","37 yrs","1972","Glengoyne","Perfect Dram","$170","63.5","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Islay Trilogy","36 yrs","1969","NDP","Murray McDavid","$170","40.3","N/A","Overseas Specialty","Scotland","Scotch","Vatted Malt",
"Macallan 1956 Campbell Hope & King","15+ yrs","1956","Macallan","Campbell Hope & King","N/A","46","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"BenRiach 1969 Connoisseurs Choice","N/A","1969","BenRiach","Gordon & MacPhail","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park 30 ","30 yrs","N/A","Highland Park","Highland Park","$380","48.1","Highland","Wide","Scotland","Scotch","Single Malt",
"Ballechin #2 Madeira Matured","N/A","N/A","Ballechin","Ballechin","$100","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"BenRiach 12 ","12 yrs","N/A","BenRiach","BenRiach","$45","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Eagle Rare 10 (Harlen Wheatley Selection)","10 yrs","N/A","Buffalo Trace","Buffalo Trace","$28","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Longmorn 1987 Cadenhead's","14 yrs","1987","Longmorn","Cadenhead","N/A","55.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 63","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Willett 17 Barrel 1550 (Pacific Edge)","17 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$100","63","Kentucky","Specialty Stores","USA","American","Bourbon",
"Longmorn 1968 SMWS 7.47","39 yrs","1968","Longmorn","The Scotch Malt Whisky Society","N/A","49.7","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Caol Ila Distillers Edition 1996","13 yrs","1996","Caol Ila","Caol Ila","$75","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Caol Ila 1974 Signatory","21 yrs","1974","Caol Ila","Signatory","N/A","60.5","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1979 Signatory (Cask 5151)","23 yrs","1979","Port Ellen","Signatory","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 1990 John MacDougall","N/A","1990","Springbank","Springbank","$200","53.3","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Old Grand Dad Bottled in Bond","4 yrs","N/A","Jim Beam","Jim Beam","$20","50","Kentucky","Wide","USA","American","Bourbon",
"Scapa 12","12 yrs","N/A","Scapa","Scapa","N/A","40","Island","Wide","Scotland","Scotch","Single Malt",
"Glenrothes 1990 Old Malt Cask","11 yrs","1990","Glenrothes","Douglas Laing","$68","50","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Bunnahabhain 1991 A.D Rattray","18 yrs","1991","Bunnahabhain","A.D. Rattray","$100","53.7","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Springbank 12 Hart Bros (Park Avenue)","12 yrs","1993","Springbank","Hart Brothers","$85","45","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Willett 8 yo Barrel 790 (1789b)","8 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","64.2","Kentucky","Collectors Only","USA","American","Bourbon",
"Littlemill 17","17 yrs","N/A","Littlemill","Littlemill","$80","43","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Willett Rye 3 yo Barrel 6","3 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$36","55","Indiana","Specialty Stores","USA","American","Rye",
"Nikka Miyagikyo 15","15 yrs","N/A","Nikka","Nikka","$130","45","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Balblair 1990 Bladnoch Forum","20 yrs","1990","Balblair","Bladnoch Forum","$90","53.7","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Serendipity","12 yrs","N/A","N/A","Serendipity","$82","40","N/A","Overseas Specialty","Scotland","Scotch","Vatted Malt",
"Brora 30 (3rd Release)","30 yrs","N/A","Brora","Brora","$320","56.6","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"North Port  (Brechin) 1976 Cadenhead's","19 yrs","1976","North Port","Cadenhead","N/A","63.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Balmenach "Flying Pigs"","32 yrs","1977","Balmenach","Ian Macleod","$195","55.7","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bowmore 2000 Old Malt Cask (La Maison Du Whisky)","10 yrs","2000","Bowmore","Douglas Laing","$105","58.4","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Benromach 25","25 yrs","N/A","Benromach","Benromach","$130","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Springbank 12 (Red Thistle 1990s)","12 yrs","N/A","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1982 DL Platinum Old & Rare","25 yrs","1982","Port Ellen","Douglas Laing","$225","57.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"George T. Stagg 2010","17.5 yrs","1993","Buffalo Trace","Buffalo Trace","$70","71.5","Kentucky","Specialty Stores","USA","American","Bourbon",
"Laphroaig 1998 The Dram","12 yrs","1998","Laphroaig","C&S Dram Collection","$70","59.1","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Caperdonich 1972 Connoisseurs Choice","37 yrs","1972","Caperdonich","Gordon & MacPhail","$170","46","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Scapa 14","14 yrs","N/A","Scapa","Scapa","$42","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Black Bull 12","12 yrs","N/A","Duncan Taylor","Duncan Taylor","$42","50","N/A","Specialty Stores","Scotland","Scotch","Blend",
"Caol Ila 1990 Murray McDavid","17 yrs","1990","Caol Ila","Murray McDavid","$140","53.9","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Arran 1996 Murray McDavid","11 yrs","1996","Arran","Murray McDavid","$55","46","Highland","Wide","Scotland","Scotch","Single Malt",
"Bruichladdich Legacy 5","33 yrs","1978","Bruichladdich","Bruichladdich","$430","40.9","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Macallan 18 (1968)","18 yrs","1968","Macallan","Macallan","N/A","43","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Clontarf Single Malt","N/A","N/A","Clontarf","Clontarf","$32","40","Ireland","Specialty Stores","Ireland","Irish","Single Malt",
"Springbank 13 Single Malts of Scotland","13 yrs","1993","Springbank","Speciality Drinks Ltd","$82","58.7","Campbeltown","Overseas Specialty","Scotland","Scotch","Single Malt",
"The Tyrconnell","NA yrs","N/A","Cooley","Cooley","$30","40","Ireland","Better Stores","Ireland","Irish","Single Malt",
"High West American Prairie Reserve","N/A","N/A","High West","High West","$43","46","N/A","Specialty Stores","USA","American","Bourbon",
"Mount Vernon Straight Rye BIB (bottled 1942)","N/A","N/A","National Distillers","National Distillers","N/A","50","Maryland","Collectors Only","USA","American","Rye",
"Bowmore 16 1990 Cask Strength","16 yrs","1990","Bowmore","Bowmore","$95","53.8","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Highland Park 1982 Cask","12 yrs","1982","Highland Park","Gordon & MacPhail","N/A","56.9","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Macallan 25","25 yrs","N/A","Macallan","Macallan","$700","46","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Inver House Green Plaid","3 yrs","N/A","Inver House","Inver House","$11","40","N/A","Wide","Scotland","Scotch","Blend",
"Finlaggan Old Reserve","N/A","N/A","NDP","Vintage Malt Whisky Co.","$18","40","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Springbank 1978","N/A","1978","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1972 Jack Weiber","39 yrs","1972","Glen Grant","Jack Weibers Whisky World","$300","51.2","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Old Taylor 6 ","6 yrs","N/A","Jim Beam","Jim Beam","$12","40","Kentucky","Wide","USA","American","Bourbon",
"Trader Joe's 18 yo Speyside Single Malt Scotch","18 yrs","1993","NDP","Alexander Murray & Co.","$26","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"BenRiach Birnie Moss","N/A","N/A","BenRiach","BenRiach","$40","0","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"(ri)1","N/A","N/A","Jim Beam","Jim Beam","$50","46","N/A","Wide","USA","American","Rye",
"Glenlochy 1980 Signatory (#3021)","31 yrs","1980","Glenlochy","Signatory","$375","53.1","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenrothes 1998","10 yrs","1998","Glenrothes","Glenrothes","$50","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Jura 16","16 yrs","N/A","Jura","Jura","$50","40","Island","Better Stores","Scotland","Scotch","Single Malt",
"Trader Joe's 10 yo Highland Single Malt Scotch","10 yrs","N/A","NDP","Alexander Murray & Co.","$20","40","Highland","Wide","Scotland","Scotch","Single Malt",
"BenRiach 1976 Cask #6942","34 yrs","1976","BenRiach","BenRiach","$280","57.8","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Compass Box The Spice Tree","N/A","N/A","Compass Box","Compass Box","$70","46","N/A","Specialty Stores","Scotland","Scotch","Vatted Malt",
"Hanyu 2000 Ichiro's Malt The Game","9 yrs","2000","Hanyu","Venture Whisky","N/A","61.2","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Coleburn 1972 Connoisseurs Choice","20 yrs","1972","Coleburn","Gordon & MacPhail","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 1991 A.D. Rattray (Cask 2061)","20 yrs","1991","Bowmore","A.D. Rattray","$120","56.2","Islay","Wide","Scotland","Scotch","Single Malt",
"Bunnahabhain 1965","N/A","N/A","Bunnahabhain","Bunnahabhain","N/A","53.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Macallan 1990 Signatory","12 yrs","1990","Macallan","Signatory","$90","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank 1967 Blackadder","30 yrs","1967","Springbank","Blackadder","N/A","52","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Ardmore 1977 Murray McDavid","26 yrs","1977","Ardmore","Murray McDavid","$115","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank 1992 Alambic Classique","15 yrs","1992","Springbank","Alambic Classique","$144","49.9","Campbeltown","Overseas Specialty","Scotland","Scotch","Single Malt",
"Hazelburn 8","8 yrs","N/A","Hazelburn","Hazelburn","$73","46","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Glen Scotia 1991 Signatory","8 yrs","1991","Glen Scotia","Signatory","N/A","43","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Old Pulteney 12","12 yrs","N/A","Old Pulteney","Old Pulteney","$40","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Talisker 1992 Distiller's Edition","12 yrs","1992","Talisker","Talisker","$70","45.8","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Experimental Oat Bourbon","9 yrs","2002","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Monkey Shoulder","N/A","N/A","William Grant","William Grant","$32","40","N/A","Overseas Wide","Scotland","Scotch","Vatted Malt",
"Ankara","N/A","N/A","Mey Ankara","Mey Ankara","N/A","43","N/A","Overseas Specialty","Turkey","World","Other",
"Port Ellen 1979 25yr Old Malt Cask","25 yrs","1979","Port Ellen","Douglas Laing","$180","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Bunnahabhain 1978 Signatory Vintage","28 yrs","1978","Bunnahabhain","Signatory","$200","50.8","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Bruichladdich 1986 Park Avenue","18 yrs","1986","Bruichladdich","Bruichladdich","$140","57.5","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Bushmill's White Label a.k.a. White Bush","N/A","N/A","Bushmill's","Bushmill's","$23","40","Ireland","Wide","Ireland","Irish","Blend",
"Bruichladdich Rocks","N/A","N/A","Bruichladdich","Bruichladdich","$50","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Green Spot","N/A","N/A","Green Spot","Mitchell & Sons","$55","40","Ireland","Overseas Specialty","Ireland","Irish","Pure Pot Still",
"Glenlivet 1973 Signatory","22 yrs","1973","Glenlivet","Signatory","N/A","56","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Low Gap Whiskey","0 yrs","N/A","American Craft Whiskey","American Craft Whiskey","$40","45","California","Specialty Stores","USA","American","Other",
"Macallan Select Oak","NA yrs","N/A","Macallan","Macallan","$85","40","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Taylor (Late 1970's)","N/A","N/A","Jim Beam","Old Taylor Distillery","N/A","40","Kentucky","Collectors Only","USA","American","Bourbon",
"Arran Madeira Finish","8 yrs","N/A","Arran","Arran","$80","50","Island","Better Stores","Scotland","Scotch","Single Malt",
"Lagavulin 12 Special Release 2007","12 yrs","N/A","Lagavulin","Lagavulin","$78","56.4","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Nikka Whisky from the Barrel - 50cL","N/A","N/A","Nikka","Nikka","$50","51.4","Japan","Overseas Specialty","Japan","Japanese","Blend",
"Black Bull 40","40 yrs","N/A","Duncan Taylor","Duncan Taylor","$180","40.2","N/A","Specialty Stores","Scotland","Scotch","Blend",
"Glenrothes 1969 Duncan Taylor Peerless","41 yrs","1969","Glenrothes","Duncan Taylor","$330","44.2","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Caol Ila Cl1 Elements of Islay","N/A","N/A","Caol Ila","Speciality Drinks Ltd","$45","62.9","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Highland Park 1985 D&M Aficionados","22 yrs","1985","Highland Park","Lorne Mackillop","$120","43","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Celtic Nations","N/A","N/A","Bruichladdich","Murray McDavid","$70","46","Ireland & Scotland","Specialty Stores","Other","Other","Vatted Malt",
"Bruichladdich 1966 Hart Brothers","35 yrs","1966","Bruichladdich","Hart Brothers","N/A","44.5","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Wiser's Legacy","N/A","N/A","Corby Distilleries","Corby Distilleries","$50","45","Ontario","Overseas Specialty","Canada","Canadian","Blend",
"Buffalo Trace Single Oak Barrel 157","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glenlossie 1988 Gordon and MacPhail ","18 yrs","1988","Glenlossie","Gordon & MacPhail","$130","56.3","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"McKenzie Rye","N/A","N/A","Finger Lakes Distillery","Finger Lakes Distillery","$46","45.5","New York","Specialty Stores","USA","American","Rye",
"Millburn 1975 Rare Malts","25 yrs","1975","Millburn","Millburn","N/A","61.9","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Convalmore 1978 Rare Malts","24 yrs","1978","Convalmore","Convalmore","$114","59.4","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Tomatin 1965 Duncan Taylor","37 yrs","1965","Tomatin","Duncan Taylor","$165","52.7","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Rare Ayrshire 1975 Signatory (Ladyburn)","35 yrs","1975","Ladyburn","Signatory","$190","45.5","Lowland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Macallan 1990 Murray McDavid","16 yrs","1990","Macallan","Murray McDavid","$110","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Black Bull 30","30 yrs","N/A","Duncan Taylor","Duncan Taylor","$150","50","N/A","Specialty Stores","Scotland","Scotch","Blend",
"Tamdhu Glenlivet 1963 Cadenhead","29 yrs","1963","Tamdhu","Cadenhead","N/A","49.4","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Dallas Dhu 1962 Cadenhead","30 yrs","1962","Dallas Dhu","WM Cadenhead","N/A","53.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Jefferson's Presidential Select 18 (Julio's Loch & K(e)y)","18 yrs","N/A","McLain & Kyne","McLain & Kyne","N/A","47","Kentucky","Specialty Stores","USA","American","Bourbon",
"Macallan 18 (1985)","18 yrs","1985","Macallan","Macallan","$140","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Penderyn","N/A","N/A","Penderyn","The Welsh Whisky Company","$70","46","N/A","Better Stores","Wales","World","Other",
"Caol Ila 25","25 yrs","N/A","Caol Ila","Caol Ila","$180","58.4","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Johnnie Walker Green","15  yrs","N/A","Johnnie Walker","Johnnie Walker","$45","43","N/A","Wide","Scotland","Scotch","Vatted Malt",
"Glenrothes 1979","17 yrs","1979","Glenrothes","Glenrothes","N/A","43","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Ben Nevis 1996 Duncan Taylor NC2","13 yrs","1996","Ben Nevis","Duncan Taylor","$75","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Lagavulin 1990 The Syndicate","14 yrs","1990","Lagavulin","Bruichladdich","N/A","46","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Jefferson's Presidential Select 1991","17 yrs","1991","McLain & Kyne","McLain & Kyne","N/A","47","Kentucky","Wide","USA","American","Bourbon",
"North Port - Brechin 1981 Connoisseurs Choice","24 yrs","1981","North Port","Gordon & MacPhail","N/A","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Auchroisk 1990 SMWS 95.13","19 yrs","1990","Auchroisk","The Scotch Malt Whisky Society","$135","58.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenury Royal 1966 Cadenhead's","23 yrs","1966","Glenury Royal","Cadenhead","N/A","52.7","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1979 Signatory (Cask 1847)","14 yrs","1979","Port Ellen","Signatory","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 1993 Duncan Taylor ","18 yrs","1993","Springbank","Duncan Taylor","$150","56.4","Campbeltown","Wide","Scotland","Scotch","Single Malt",
"Buffalo Trace Experimental Collection 1995 American Oak Chips Seasoned","15 yrs","1995","Buffalo Trace","Buffalo Trace","$55","45","Kentucky","Specialty Stores","USA","American","Other",
"Brora 1982 Chieftain's Choice","19 yrs","1982","Brora","Ian Macleod","N/A","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Brora 1981 Signatory","24 yrs","1981","Brora","Signatory","$224","60.1","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 56","N/A","N/A","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Machrie Moor","N/A","N/A","Arran","Arran","$70","46","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Balvenie Tun 1401 Batch No. 5","N/A","N/A","Balvenie","Balvenie","$240","50.1","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glen Grant 1970 Duncan Taylor ","37 yrs","1970","Glen Grant","Duncan Taylor ","$280","51.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"North of Scotland 1964 Scott's Selection (2007)","43 yrs","1964","North of Scotland","Scott's Selection","$151","45.7","N/A","Specialty Stores","Scotland","Scotch","Grain",
"Old Weller Antique (1789b #5)","8 yrs","N/A","Buffalo Trace","Buffalo Trace","N/A","53.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Laphroaig SMWS 29.64","16 yrs","1989","Laphroaig","The Scotch Malt Whisky Society","$135","54.6","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Charbay Whiskey LAWS Edition I","12 yrs","1999","Charbay","Charbay","N/A","69.1","California","Collectors Only","USA","American","Single Malt",
"Springbank 12 100 Proof (UK 1990s)","12 yrs","N/A","Springbank","Springbank","N/A","57","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Eagle Rare 101","10 yrs","N/A","Buffalo Trace","Buffalo Trace","N/A","50.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Glenglassaugh "The Spirit Drink..."","0 yrs","N/A","Glenglassaugh","Glenglassaugh","$40","50","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bushmills 21","21 yrs","N/A","Bushmill's","Bushmill's","$115","40","Ireland","Better Stores","Ireland","Irish","Single Malt",
"Springbank 2000 Jamieson","10 yrs","2000","Springbank","Springbank","N/A","58.6","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Port Charlotte 2001 Whiskyfriends","9 yrs","2001","Port Charlotte","Port Charlotte","N/A","63.4","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Directors' Blend The","N/A","N/A","Johnnie Walker","Johnnie Walker","N/A","45","N/A","Collectors Only","Scotland","Scotch","Blend",
"Georgia Moon Corn Whiskey","0 yrs","N/A","Heaven Hill ","Heaven Hill ","$12","40","Kentucky","Specialty Stores","USA","American","Corn",
"Balblair 2000","10 yrs","2000","Balblair","Balblair","$55","43","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Springbank 1995 The Alchemist ","10 yrs","1995","Springbank","The Alchemist ","$75","46","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Balvenie 17 Peated Cask","17 yrs","N/A","Balvenie","Balvenie","$120","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Arran "The Peated Arran"","4 yrs","2005","Arran","Arran","$70","57.7","Island","Wide","Scotland","Scotch","Single Malt",
"Caol Ila 1999 Signatory (Binny's)","6 yrs","1999","Caol Ila","Signatory","$35","61.8","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Clynelish 1974 Rare Malt","23 yrs","1974","Clynelish","Clynelish","N/A","59.1","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Willett 18 yo Barrel 12A (Paws & Claws)","18 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","66.4","Kentucky","Collectors Only","USA","American","Bourbon",
"Laphroaig 1990 A.D. Rattray (Alberta)","18 yrs","1990","Laphroaig","A.D. Rattray","$180","55","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Auchroisk 11 Medoc Finish Chieftain's","11 yrs","N/A","Auchroisk","Ian Macleod","N/A","43","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Linkwood 1973 Signatory (Binny's)","29 yrs","1973","Linkwood","Signatory ","$120","51.5","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel OBSK Binny's Barrel 4-2G","10 yrs","2001","Four Roses ","Four Roses ","$55","61.3","Kentucky","Specialty Stores","USA","American","Bourbon",
"Royal Brackla 1976 Scott's Selection","27 yrs","1976","Brackla","Scott's Selection","$155","57.2","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Collier and McKeel Tennessee Whiskey","N/A","N/A","Collier and McKeel","Collier and McKeel","N/A","43","Tennessee","Specialty Stores","USA","American","Tennessee",
"Ardbeg 1974 Signatory","23 yrs","1974","Ardbeg","Signatory","N/A","50.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Ancient Ancient Age (Late 1970's)","10 yrs","N/A","Buffalo Trace","Buffalo Trace ","$15","43","Kentucky","Collectors Only","USA","American","Bourbon",
"Old Ballantruan","NA yrs","N/A","Tomintoul","Tomintoul","$50","50","Speyside","Wide","Scotland","Scotch","Single Malt",
"Springbank CV (Mid 90's)","N/A","N/A","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 30 (1980s)","30 yrs","N/A","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 4","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Bourbon de Luxe","4 yrs","N/A","Jim Beam","Jim Beam","$10","40","Kentucky","Specialty Stores","USA","American","Bourbon",
"Origine","10 yrs","N/A","NDP","Origine Spirits","$23","40","Kentucky","Wide","USA","American","Bourbon",
"Abhainn Dearg First Bottling","N/A","2008","Abhainn Dearg","Abhainn Dearg","$200","46","Island","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenglassaugh Murray McDavid 1986/2004","20 yrs","1986","Glenglassaugh","Murray McDavid","$175","55.3","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Glen Garioch 1979 (Park Avenue)","24 yrs","1979","Glen Garioch","Glen Garioch","N/A","52.1","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park 1988 Murray McDavid","11 yrs","1998","Highland Park","Murray McDavid","$55","46","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Slyrs 3","3 yrs","N/A","Slyrs","Slyrs","$95","43","Bavaria","Better Stores","Germany","World","Other",
"Clynelish 1984 Signatory","12 yrs","1984","Clynelish","Signatory","N/A","43","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glendronach 1972 (Cask 718)","38 yrs","1972","Glendarroch","Glendronach","N/A","51.5","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Dalmore Mackenzie","N/A","1992","Dalmore","Dalmore","$120","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel OBSK (Paws & Claws)","9 yrs","N/A","Four Roses ","Four Roses ","N/A","61.1","Kentucky","Collectors Only","USA","American","Bourbon",
"Glenmorangie Signet","NAS yrs","N/A","Glenmorangie","Glenmorangie","$200","46","Highland","Better Stores","Scotland","Scotch","Single Malt",
